time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-24T12:25:36.543Z,40.1525,-119.6473,7.3,1.2,ml,13,180.54,0.067,0.1611,nn,nn00835923,2022-03-24T17:02:23.153Z,"22 km N of Sutcliffe, Nevada",earthquake,,1.6,0.36,8,reviewed,nn,nn
2022-03-24T12:25:19.748Z,15.4477,-94.7041,35,4.6,mb,,141,2.606,0.58,us,us7000gwvj,2022-03-24T12:45:10.040Z,"87 km S of San Francisco del Mar Viejo, Mexico",earthquake,5.3,1.9,0.04,188,reviewed,us,us
2022-03-24T12:25:04.700Z,19.2416667938232,-155.378829956055,33.0200004577637,1.89999998,md,36,144,,0.129999995,hv,hv72960792,2022-03-24T12:28:07.840Z,"11 km ENE of Pāhala, Hawaii",earthquake,0.57,0.860000014,1.35000002,15,automatic,hv,hv
2022-03-24T12:23:52.120Z,17.9588333333333,-66.8833333333333,10.03,2.35,md,3,261,,0.15,pr,pr71341818,2022-03-24T13:24:30.510Z,"2 km SSE of Maria Antonia, Puerto Rico",earthquake,5.19,1.15,0.183761373942807,3,reviewed,pr,pr
2022-03-24T12:23:36.810Z,38.8238335,-122.8096695,1.79,0.84,md,15,61,0.00054,0.01,nc,nc73709716,2022-03-24T12:51:14.277Z,"7km NW of The Geysers, CA",earthquake,0.27,0.62,,1,automatic,nc,nc
2022-03-24T12:21:55.000Z,38.8318329,-122.8098297,2.15,0.85,md,15,47,0.008428,0.02,nc,nc73709706,2022-03-24T12:39:15.213Z,"8km W of Cobb, CA",earthquake,0.31,0.59,,1,automatic,nc,nc
2022-03-24T12:20:54.527Z,58.2442,-155.0983,3,-0.1,ml,,,,0.16,ak,ak0223tgvbhr,2022-03-24T16:44:16.019Z,"84 km NNW of Karluk, Alaska",earthquake,,2.7,,,reviewed,ak,ak
2022-03-24T12:20:30.130Z,40.6525,-121.8146667,5.64,0.82,md,8,171,0.1016,0.16,nc,nc73709711,2022-03-24T17:47:17.015Z,"19km NNE of Shingletown, CA",earthquake,0.76,2.28,0.153,8,reviewed,nc,nc
2022-03-24T12:12:47.307Z,31.60149908,-104.5228095,6.671435547,3.9,ml,21,83,0.06979492353,0.2,tx,tx2022futk,2022-03-24T16:11:51.040Z,"65 km SSW of Whites City, New Mexico",earthquake,1.786089656,1.513898673,0.1,13,reviewed,tx,tx
2022-03-24T12:05:02.740Z,33.5128333,-116.4501667,7.74,0.67,ml,18,70,0.023,0.16,ci,ci39976527,2022-03-24T12:40:59.850Z,"21km SW of La Quinta, CA",earthquake,0.35,0.68,0.13,13,reviewed,ci,ci
2022-03-24T12:03:39.570Z,38.8283348,-122.8136673,1.61,0.85,md,8,77,0.005675,0.02,nc,nc73709701,2022-03-24T12:21:14.125Z,"8km NW of The Geysers, CA",earthquake,0.35,1.02,,1,automatic,nc,nc
2022-03-24T11:54:01.140Z,18.5356,-69.2388,150.66,4.2,mb,,109,0.647,0.54,us,us7000gwvb,2022-03-24T12:14:56.040Z,"6 km W of Ramón Santana, Dominican Republic",earthquake,5.2,6.2,0.235,6,reviewed,us,us
2022-03-24T11:48:17.830Z,45.6046667,-111.8951667,5.9,0.44,ml,7,104,0.187,0.11,mb,mb80541364,2022-03-24T14:38:09.820Z,"Western Montana",earthquake,0.63,7.44,0.366,3,reviewed,mb,mb
2022-03-24T11:46:32.990Z,38.8258324,-122.8115005,1.54,0.79,md,21,38,0.002677,0.03,nc,nc73709696,2022-03-24T11:48:09.334Z,"7km NW of The Geysers, CA",earthquake,0.2,0.5,0.25,3,automatic,nc,nc
2022-03-24T11:43:46.460Z,19.1443328857422,-155.483169555664,28.0300006866455,1.72000003,md,16,215,,0.140000001,hv,hv72960762,2022-03-24T11:47:03.620Z,"6 km S of Pāhala, Hawaii",earthquake,1.24,1.05999994,0.850000024,3,automatic,hv,hv
